,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,state,zip,county_name
673,Burger King,"2200 lebanon church road, west mifflin, pa, 15122, us",,,,,,pa,15122,Allegheny
674,Burger King,"4656 browns hill rd, pittsburgh, pa, 15217, us",,,,,4.99,pa,15217,Allegheny
675,Burger King,"1197 berkshire blvd, reading, pa, 19610, us",6.99,2.99,3.99,12.19,3.49,pa,19610,Berks
676,Burger King,"3419 north 5th street highway, reading, pa, 19605, us",7.45,2.8,4.4,10.05,4.29,pa,19605,Berks
677,Burger King,"7200 bancroft road, oakland, ca, 94605, us",9.49,2.73,4.86,16.24,4.61,ca,94605,Alameda
678,Burger King,"6021 central avenue, el cerrito, ca, 94530, us",10.09,4.29,5.69,17.79,5.49,ca,94530,Contra Costa
679,Burger King,"2855 north main street, walnut creek, ca, 94597, us",10.09,4.29,5.69,17.79,5.49,ca,94597,Contra Costa
680,Burger King,"1502, west chester, pa, 19382, us",8.09,2.99,5.39,13.19,4.09,pa,19382,Chester
681,Burger King,"4701 edgmont ave, brookhaven, pa, 19015, us",8.99,3.49,5.99,14.49,4.49,pa,19015,Delaware
682,Burger King,"501 macdade blvd, holmes, pa, 19036, us",7.45,2.8,4.4,10.05,4.29,pa,19036,Delaware
683,Burger King,"47 industrial hwy, tinicum township, pa, 19029, us",,,,,,pa,19029,Delaware
684,Burger King,"1408 lititz pike, lancaster, pa, 17601, us",6.83,2.39,3.59,10.91,3.23,pa,17601,Lancaster
685,Burger King,"1738 w tilghman street, allentown, pa, 18104, us",6.99,2.99,3.99,12.19,3.49,pa,18104,Lehigh
686,Burger King,"1958 south 4th street, allentown, pa, 18103, us",6.99,2.99,3.99,12.19,3.49,pa,18103,Lehigh
687,Burger King,"1313 tilghman st, allentown, pa, 18102, us",,,,,,pa,18102,Lehigh
688,Burger King,"568 west dekalb pike, king of prussia, pa, 19406, us",7.16,3.19,3.83,12.9,3.83,pa,19406,Montgomery
689,Burger King,"409 west ridge pike, conshohocken, pa, 19428, us",7.16,3.19,3.83,12.9,3.83,pa,19428,Montgomery
690,Burger King,"1521 columbus boulevard, philadelphia, pa, 19147, us",9.35,3.11,5.58,14.55,4.8,pa,19147,Philadelphia
691,Burger King,"1901 route 286, pittsburgh, pa, 15239, us",7.09,2.69,4.15,9.8,4.05,pa,15239,Allegheny
692,Burger King,"4490 broadway boulevard, monroeville, pa, 15146, us",7.09,2.69,4.15,9.8,4.05,pa,15146,Allegheny
693,Burger King,"3980 william penn highway, monroeville, pa, 15146, us",,,,,,pa,15146,Allegheny
694,Burger King,"490 loucks road, york, pa, 17404, us",6.99,2.99,3.99,12.19,3.49,pa,17404,York
