,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
99,Denny,"327 south palm avenue, santa paula, ca, 93060, us",11.964766355140188,9.89,7.264368211080557,4.4,137,23,5.59,18.39,,,,ca,93060,Ventura,2024-05-14,1,1,0,0
100,Denny,"3614 state st, santa barbara, ca, 93105, us",12.037333333333335,10.07,6.881802818429633,4.4,135,700+,5.81,18.29,,,,ca,93105,Santa Barbara,2024-05-14,1,1,0,0
101,Denny,"3715 el camino real, santa clara, ca, 95051, us",11.918712871287136,10.59,7.026573839892248,4.5,131,600+,5.59,17.99,,,,ca,95051,Santa Clara,2024-05-14,1,1,0,0
102,Denny,"3950 waterloo rd, stockton, ca, 95215, us",12.210761904761906,10.18,7.271210771678113,4.3,134,220+,5.81,17.98,,,,ca,95215,San Joaquin,2024-05-14,1,1,0,0
103,Denny,"5033 s hwy 99 e frontage rd, stockton, ca, 95215, us",13.729811320754724,13.19,8.60678790708866,4.3,134,96,7.16,18.29,,,,ca,95215,San Joaquin,2024-05-14,1,1,0,0
104,Denny,"4324, salida, ca, 95368, us",12.350462962962967,10.07,7.489553018391347,4.5,138,100+,5.81,18.91,,,,ca,95368,Stanislaus,2024-05-14,1,1,0,0
105,Denny,"611 five cities dr., pismo beach, ca, 93449, us",12.255327102803726,10.07,7.398480308435786,4.3500000000000005,274,500+,5.81,18.29,,,,ca,93449,San Luis Obispo,2024-05-14,1,1,0,0
106,Denny,"612 contra costa blvd., pleasant hill, ca, 94523, us",12.065887850467295,10.07,7.32666745440398,4.5,137,180+,6.02,17.46,,,,ca,94523,Contra Costa,2024-05-14,1,1,0,0
107,Denny,"642 west charter way, stockton, ca, 95206, us",12.350462962962965,10.07,7.489553018391347,4.1,138,470+,5.81,18.91,,,,ca,95206,San Joaquin,2024-05-14,1,1,0,0
108,Denny,"814 ahwanee ave, sunnyvale, ca, 94085, us",13.062897196261687,12.57,8.931508753598107,4.5,137,1,6.74,18.29,,,,ca,94085,Santa Clara,2024-05-14,1,1,0,0
109,Denny,"816 mission st, san francisco, ca, 94103, us",16.619504950495063,19.12,10.64121767545012,4.4,393,1,8.41,22.76,,,,ca,94103,San Francisco,2024-05-14,1,1,0,0
110,Denny,"955 manning ave, reedley, ca, 93654, us",11.453888888888901,9.74,6.862923175016083,3.1,138,14,5.59,16.49,,,,ca,93654,Fresno,2024-05-14,1,1,0,0
