,menu_item,price,calories,address
232,Chili,2.99/3.99,240/340,"6102 University Dr Nw, Huntsville, AL, 35806, US"
233,Sour Cream and Chive Baked Potato,2.79,310,"6102 University Dr Nw, Huntsville, AL, 35806, US"
234,Plain Baked Potato,2.59,270,"6102 University Dr Nw, Huntsville, AL, 35806, US"
235,Bacon Cheese Baked Potato,4.19,440,"6102 University Dr Nw, Huntsville, AL, 35806, US"
236,Chili & Cheese Baked Potato,4.19,500,"6102 University Dr Nw, Huntsville, AL, 35806, US"
237,Cheese Baked Potato,3.69,450,"6102 University Dr Nw, Huntsville, AL, 35806, US"
238,Apple Bites,1.59,35,"6102 University Dr Nw, Huntsville, AL, 35806, US"
239,6 PC. Crispy Chicken Nuggets,2.49,270,"6102 University Dr Nw, Huntsville, AL, 35806, US"
240,4 PC. Crispy Chicken Nuggets,1.69,180,"6102 University Dr Nw, Huntsville, AL, 35806, US"
241,6 PC. Spicy Chicken Nuggets,2.49,280,"6102 University Dr Nw, Huntsville, AL, 35806, US"
242,4 PC. Spicy Chicken Nuggets,1.69,190,"6102 University Dr Nw, Huntsville, AL, 35806, US"
243,Pretzel Baconator®,8.69,"1,050","7782 Highway 72 West, Madison, AL, 35758, US"
244,Dave's Single®,5.79,590,"7782 Highway 72 West, Madison, AL, 35758, US"
245,Dave's Double®,6.79,860,"7782 Highway 72 West, Madison, AL, 35758, US"
246,Dave's Triple®,7.79,"1,160","7782 Highway 72 West, Madison, AL, 35758, US"
247,Baconator®,7.69,960,"7782 Highway 72 West, Madison, AL, 35758, US"
248,Son of Baconator®,5.99,630,"7782 Highway 72 West, Madison, AL, 35758, US"
249,Big Bacon Classic®,6.39,650,"7782 Highway 72 West, Madison, AL, 35758, US"
250,Big Bacon Classic® Double,7.39,910,"7782 Highway 72 West, Madison, AL, 35758, US"
251,Big Bacon Classic Triple,8.39,"1,220","7782 Highway 72 West, Madison, AL, 35758, US"
252,Bacon Double Stack,3.69,440,"7782 Highway 72 West, Madison, AL, 35758, US"
253,Jr. Bacon Cheeseburger,3.19,370,"7782 Highway 72 West, Madison, AL, 35758, US"
254,Jr. Cheeseburger Deluxe,2.49,340,"7782 Highway 72 West, Madison, AL, 35758, US"
255,Jr. Cheeseburger,1.99,290,"7782 Highway 72 West, Madison, AL, 35758, US"
256,Double Stack™,3.19,410,"7782 Highway 72 West, Madison, AL, 35758, US"
257,Jr. Hamburger,1.59,250,"7782 Highway 72 West, Madison, AL, 35758, US"
258,French Fries,1.79-2.99,210-470,"7782 Highway 72 West, Madison, AL, 35758, US"
259,Baconator Fries,3.69,460,"7782 Highway 72 West, Madison, AL, 35758, US"
260,Chili Cheese Fries,3.69,520,"7782 Highway 72 West, Madison, AL, 35758, US"
261,Cheese Fries,2.69,470,"7782 Highway 72 West, Madison, AL, 35758, US"
262,Chili,2.99/3.99,240/340,"7782 Highway 72 West, Madison, AL, 35758, US"
263,Sour Cream and Chive Baked Potato,2.79,310,"7782 Highway 72 West, Madison, AL, 35758, US"
264,Plain Baked Potato,2.59,270,"7782 Highway 72 West, Madison, AL, 35758, US"
265,Bacon Cheese Baked Potato,4.19,440,"7782 Highway 72 West, Madison, AL, 35758, US"
266,Chili & Cheese Baked Potato,4.19,500,"7782 Highway 72 West, Madison, AL, 35758, US"
267,Cheese Baked Potato,3.69,450,"7782 Highway 72 West, Madison, AL, 35758, US"
268,Apple Bites,1.59,35,"7782 Highway 72 West, Madison, AL, 35758, US"
269,6 PC. Crispy Chicken Nuggets,2.49,270,"7782 Highway 72 West, Madison, AL, 35758, US"
270,4 PC. Crispy Chicken Nuggets,1.69,180,"7782 Highway 72 West, Madison, AL, 35758, US"
271,6 PC. Spicy Chicken Nuggets,2.49,280,"7782 Highway 72 West, Madison, AL, 35758, US"
272,4 PC. Spicy Chicken Nuggets,1.69,190,"7782 Highway 72 West, Madison, AL, 35758, US"
273,Pretzel Baconator®,8.69,"1,050","8814 Hwy 20 W, Madison, AL, 35758, US"
274,Dave's Single®,5.79,590,"8814 Hwy 20 W, Madison, AL, 35758, US"
275,Dave's Double®,6.79,860,"8814 Hwy 20 W, Madison, AL, 35758, US"
276,Dave's Triple®,7.79,"1,160","8814 Hwy 20 W, Madison, AL, 35758, US"
