,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name_x,date,uber_eats,post_policy,fast_food,local,county_name_y
117,Burger King,"501 south king's highway, myrtle beach, sc, 29577, us",5.625625000000002,4.145,3.6379687019051814,,48,,1.99,2.7,6.7,4.3,,sc,29577,Horry,2024-05-16,0,1,1,0,Horry
118,Burger King,"5301 johnston st, lafayette, la, 70503, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70503,Lafayette,2024-05-16,0,1,1,0,Lafayette
119,Burger King,"5401 e. university ave, pleasant hill, ia, 50327, us",5.784339622641513,3.99,3.716379608448312,,53,,2.49,3.19,5.99,2.99,,ia,50327,Polk,2024-05-16,0,1,1,0,Polk
120,Burger King,"568 west dekalb pike, king of prussia, pa, 19406, us",5.104705882352944,3.79,3.0651503196617065,,51,,2.49,2.99,5.59,2.99,,pa,19406,Montgomery,2024-05-16,0,1,1,0,Montgomery
121,Burger King,"575 east 400 south street, salt lake city, ut, 84102, us",5.48980392156863,3.99,3.2937763595379823,,51,,2.29,3.29,5.79,3.29,,ut,84102,Salt Lake,2024-05-16,0,1,1,0,Salt Lake
122,Burger King,"6000 rivers ave, north charleston, sc, 29406, us",5.396458333333335,3.99,3.4274446807980077,,48,,1.99,2.7,6.2,3.8,,sc,29406,Charleston,2024-05-16,0,1,1,0,Charleston
123,Burger King,"6003 gateway drive, plainfield, in, 46168, us",3.8979166666666654,2.99,1.9684659407066765,,24,,1.99,2.99,5.89,4.19,,in,46168,Hendricks,2024-05-16,0,1,1,0,Hendricks
124,Burger King,"601 martin luther king blvd, savannah, ga, 31401, us",3.886153846153844,2.99,2.0300588792580467,,26,,2.39,2.99,5.89,2.99,,ga,31401,Chatham,2024-05-16,0,1,1,0,Chatham
125,Burger King,"6029 wade hampton boulevard, taylors, sc, 29687, us",4.953157894736841,3.89,2.889341063648733,,57,,1.99,3.09,5.39,3.09,,sc,29687,Greenville,2024-05-16,0,1,1,0,Greenville
126,Burger King,"6135 eastex freeway #2, beaumont, tx, 77706, us",5.072352941176471,3.99,3.0484779797596673,,51,,1.89,2.69,5.49,2.69,,tx,77706,Jefferson,2024-05-16,0,1,1,0,Jefferson
127,Burger King,"6425 phelan boulevard, beaumont, tx, 77706, us",5.072352941176471,3.99,3.0484779797596673,,51,,1.89,2.69,5.49,2.69,,tx,77706,Jefferson,2024-05-16,0,1,1,0,Jefferson
128,Burger King,"6220 east freeway, houston, tx, 77020, us",5.0527450980392175,3.99,3.0711153230026795,,51,,1.89,2.49,5.49,2.59,,tx,77020,Harris,2024-05-16,0,1,1,0,Harris
129,Burger King,"623 second street, manchester, nh, 03102, us",5.6765384615384615,3.99,3.688236437343935,,52,,1.99,3.19,6.89,2.99,,nh,3102,Hillsborough,2024-05-16,0,1,1,0,Hillsborough
130,Burger King,"6904 kennedy ave., hammond, in, 46323, us",4.380000000000001,3.44,2.6112036717545823,,26,,2.29,3.29,6.89,3.99,,in,46323,Lake,2024-05-16,0,1,1,0,Lake
131,Burger King,"6909 odana road, madison, wi, 53719, us",5.840925925925927,4.34,3.791650314259496,,54,,2.49,3.39,7.09,4.09,,wi,53719,Dane,2024-05-16,0,1,1,0,Dane
132,Burger King,"696 hanes mall blvd, winston salem, nc, 27103, us",5.049649122807017,4.19,2.9365130084532267,,57,,2.19,3.09,5.69,3.59,,nc,27103,Forsyth,2024-05-16,0,1,1,0,Forsyth
133,Burger King,"7011 gulf freeway, houston, tx, 77087, us",5.0527450980392175,3.99,3.0711153230026795,,51,,1.89,2.49,5.49,2.59,,tx,77087,Harris,2024-05-16,0,1,1,0,Harris
134,Burger King,"7050, theodore, al, 36582, us",3.9379999999999997,2.99,1.9687803330996576,,25,,2.29,2.79,5.39,3.19,,al,36582,Mobile,2024-05-16,0,1,1,0,Mobile
135,Burger King,"7116 highway 70 south, nashville, tn, 37221, us",3.4520967741935484,2.99,1.7777360893951555,,62,,2.19,3.29,5.69,3.59,,tn,37221,Davidson,2024-05-16,0,1,1,0,Davidson
136,Burger King,"7638 perkins road, baton rouge, la, 70810, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70810,East Baton Rouge,2024-05-16,0,1,1,0,East Baton Rouge
137,Burger King,"7938 calumet avenue, munster, in, 46321, us",3.7699999999999996,2.79,2.0849940047875433,,25,,1.99,2.69,5.69,2.79,,in,46321,Lake,2024-05-16,0,1,1,0,Lake
138,Burger King,"7939 east 41 street, south, tulsa, ok, 74145, us",5.010000000000002,3.99,2.9610702519590846,,54,,1.99,2.79,5.19,2.79,,ok,74145,Tulsa,2024-05-16,0,1,1,0,Tulsa
139,Burger King,"801 3rd avenue west, birmingham, al, 35204, us",3.8323076923076913,2.99,2.0032997926350413,,26,,2.29,2.99,5.89,2.99,,al,35204,Jefferson,2024-05-16,0,1,1,0,Jefferson
