,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,fries,cheeseburger,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
135,Wendy,"353 west 200 north, kaysville, ut, 84037, us",4.545,3.64,2.307247638782336,,30,,5.49,2.64,2.29,1.89,,ut,84037,Davis,2024-05-14,0,1,1,0
136,Wendy,"3601 gen. degaulle dr., new orleans, la, 70114, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70114,Orleans,2024-05-14,0,1,1,0
137,Wendy,"361 johnnie dodds boulevard, mount pleasant, sc, 29464, us",4.7021875,3.79,2.3888814516094663,,32,,6.29,2.69,1.99,1.69,,sc,29464,Charleston,2024-05-14,0,1,1,0
138,Wendy,"3640 south keystone avenue, indianapolis, in, 46227, us",4.859354838709675,3.99,2.8023802503653705,,31,,5.79,2.74,2.19,1.99,,in,46227,Marion,2024-05-14,0,1,1,0
139,Wendy,"3680 west state street, boise, id, 83703, us",4.957741935483872,3.99,3.220938262097151,,31,,5.99,2.59,2.29,1.99,,id,83703,Ada,2024-05-14,0,1,1,0
140,Wendy,"3701 west fwy, fort worth, tx, 76107, us",4.615,3.74,2.7702662326931686,,32,,5.19,2.69,2.19,1.89,,tx,76107,Tarrant,2024-05-14,0,1,1,0
141,Wendy,"3705, jefferson, la, 70121, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70121,Jefferson,2024-05-14,0,1,1,0
142,Wendy,"371 s greeno road, fairhope, al, 36532, us",4.313333333333333,3.59,2.1928190886517647,,30,,5.39,2.29,2.39,2.19,,al,36532,Baldwin,2024-05-14,0,1,1,0
143,Wendy,"3715 western blvd., raleigh, nc, 27606, us",4.256666666666667,3.565,2.0014300442988815,,30,,5.19,2.64,2.29,1.99,,nc,27606,Wake,2024-05-14,0,1,1,0
144,Wendy,"3801 s 27th street, milwaukee, wi, 53221, us",4.888387096774192,3.79,3.006511317419076,,31,,5.89,2.74,2.19,1.99,,wi,53221,Milwaukee,2024-05-14,0,1,1,0
145,Wendy,"3957 cottage hill road, mobile, al, 36693, us",4.313333333333333,3.59,2.1928190886517647,,30,,5.39,2.29,2.39,2.19,,al,36693,Mobile,2024-05-14,0,1,1,0
146,Wendy,"3980 william penn highway, monroeville, pa, 15146, us",4.305000000000001,3.54,2.210096151754489,,30,,5.89,2.54,2.29,1.89,,pa,15146,Allegheny,2024-05-14,0,1,1,0
147,Wendy,"3990 william penn highway, monroeville, pa, 15146, us",4.305000000000001,3.54,2.210096151754489,,30,,5.89,2.54,2.29,1.89,,pa,15146,Allegheny,2024-05-14,0,1,1,0
148,Wendy,"5076 william penn hwy, monroeville, pa, 15146, us",4.305000000000001,3.54,2.210096151754489,,30,,5.89,2.54,2.29,1.89,,pa,15146,Allegheny,2024-05-14,0,1,1,0
149,Wendy,"4001 butler street, pittsburgh, pa, 15201, us",4.305000000000001,3.54,2.210096151754489,,30,,5.89,2.54,2.29,1.89,,pa,15201,Allegheny,2024-05-14,0,1,1,0
150,Wendy,"4018 lemmon ave., dallas, tx, 75219, us",4.814193548387094,4.19,2.1659710988950662,,31,,5.99,2.99,2.79,2.49,,tx,75219,Dallas,2024-05-14,0,1,1,0
151,Wendy,"409 west abram, arlington, tx, 76010, us",4.615,3.74,2.7702662326931686,,32,,5.19,2.69,2.19,1.89,,tx,76010,Tarrant,2024-05-14,0,1,1,0
152,Wendy,"4115 s. congress, austin, tx, 78745, us",4.646249999999998,3.89,2.173985036172053,,32,,5.69,2.89,2.59,2.29,,tx,78745,Travis,2024-05-14,0,1,1,0
153,Wendy,"4123 south staples, corpus christi, tx, 78411, us",3.8496774193548378,3.19,2.2791629531276323,,31,,5.29,2.44,1.59,1.29,,tx,78411,Nueces,2024-05-14,0,1,1,0
154,Wendy,"418 cumberland street, chattanooga, tn, 37404, us",4.163666666666668,3.315,2.162100033660689,,30,,5.39,2.44,1.99,1.69,,tn,37404,Hamilton,2024-05-14,0,1,1,0
155,Wendy,"4200 south freeway, fort worth, tx, 76115, us",4.541612903225805,3.79,2.270444175350254,,31,,5.49,2.94,2.39,2.19,,tx,76115,Tarrant,2024-05-14,0,1,1,0
156,Wendy,"4301 market st, philadelphia, pa, 19104, us",4.648000000000001,3.39,2.454370795132635,,25,,6.49,2.79,2.29,1.79,,pa,19104,Philadelphia,2024-05-14,0,1,1,0
157,Wendy,"4535 highway 58, chattanooga, tn, 37416, us",4.450967741935484,3.6,2.4527776944342627,,31,,5.99,2.6399999999999997,1.59,1.39,,tn,37416,Hamilton,2024-05-14,0,1,1,0
158,Wendy,"4605 chef menteur hwy., new orleans, la, 70126, us",4.361666666666666,3.69,2.0188975264292695,,30,,5.69,2.54,2.49,2.19,,la,70126,Orleans,2024-05-14,0,1,1,0
159,Wendy,"4656 browns hill rd, pittsburgh, pa, 15217, us",4.305000000000001,3.54,2.210096151754489,,30,,5.89,2.54,2.29,1.89,,pa,15217,Allegheny,2024-05-14,0,1,1,0
160,Wendy,"4801 airline dr., metairie, la, 70001, us",4.5683333333333325,3.69,2.2535040615795556,,30,,5.69,2.54,2.49,2.19,,la,70001,Jefferson,2024-05-14,0,1,1,0
161,Wendy,"4840 s yale ave, tulsa, ok, 74135, us",4.385,3.49,2.2366772230252625,,30,,5.69,2.64,2.29,1.99,,ok,74135,Tulsa,2024-05-14,0,1,1,0
162,Wendy,"4935 merle hay road, des moines, ia, 50322, us",5.11258064516129,4.19,3.2262491631693915,,31,,5.99,2.64,2.19,1.69,,ia,50322,Polk,2024-05-14,0,1,1,0
163,Wendy,"5055 library rd., bethel park, pa, 15102, us",4.305000000000001,3.54,2.210096151754489,,30,,5.89,2.54,2.29,1.89,,pa,15102,Allegheny,2024-05-14,0,1,1,0
164,Wendy,"515 s henderson st, fort worth, tx, 76104, us",4.541612903225805,3.79,2.270444175350254,,31,,5.49,2.94,2.39,2.19,,tx,76104,Tarrant,2024-05-14,0,1,1,0
165,Wendy,"5211 broadway, oakland, ca, 94618, us",4.533333333333332,3.29,2.505584872949938,,30,,6.49,2.84,2.49,2.19,,ca,94618,Alameda,2024-05-14,0,1,1,0
166,Wendy,"532 grove st., fayetteville, nc, 28301, us",4.3603125,3.49,2.5404496210993335,,32,,5.19,2.54,1.99,1.79,,nc,28301,Cumberland,2024-05-14,0,1,1,0
167,Wendy,"538 akron dr, winston salem, nc, 27105, us",4.856129032258065,3.99,2.423985890275334,,31,,5.39,2.84,2.59,2.19,,nc,27105,Forsyth,2024-05-14,0,1,1,0
168,Wendy,"544 east ogden avenue east pointe commons ste 500, milwaukee, wi, 53202, us",4.888387096774192,3.79,3.006511317419076,,31,,5.89,2.74,2.19,1.99,,wi,53202,Milwaukee,2024-05-14,0,1,1,0
169,Wendy,"600 east ogden avenue, milwaukee, wi, 53202, us",4.888387096774192,3.79,3.006511317419076,,31,,5.89,2.74,2.19,1.99,,wi,53202,Milwaukee,2024-05-14,0,1,1,0
